word,pinyin,meaning_en,level,category,cky_mandatory
雷雨,léi yǔ,thunderstorm,L5,天文氣象,
雷電交加,léi diàn jiāo jiā,thunder and lightning occur at the same time,L5,天文氣象,
電光火石,diàn guāng huǒ shí,electric light flint,L5,天文氣象,
霧,wù,fog,L5,天文氣象,
霹靂,pī lì,perak,L5,天文氣象,
風化,fēng huà,decency,L5,天文氣象,
飄灑,piāo sǎ,suave,L5,天文氣象,
驟雨,zhòu yǔ,shower,L5,天文氣象,
光禿禿,guāng tū tū,bald,L5,四季,
凜冽,lǐn liè,biting cold,L5,四季,
刺骨,cì gǔ,piercing,L5,四季,
大汗淋漓,dà hàn lín lí,dripping with sweat,L5,四季,
宜人,yí rén,nice,L5,四季,
寒風刺風,hán fēng cī fēng,cold wind whoosh,L5,四季,
復蘇,fù sū,to recover,L5,四季,
怡人,yí rén,delightful,L5,四季,
揮汗成雨,huī hàn chéng yǔ,to drip with sweat,L5,四季,
春色,chūn sè,colors of spring,L5,四季,
暑氣迫人,shǔ qì pò rén,heat persecute person,L5,四季,
毛蟲,máo chóng,caterpillar,L5,四季,
汗出如漿,hán chū rú jiāng,perspiration go out as thick liquid,L5,四季,
汗流如注,hán liú rú zhù,perspiration flow as inject,L5,四季,
汗流浹背,hàn liú jiā bèi,to sweat profusely,L5,四季,
熱騰騰,rè téng téng,steaming hot,L5,四季,
熾烈,chì liè,burning fiercely,L5,四季,
萬象更新,wàn xiàng gēng xīn,nature takes on a new look,L5,四季,
蕭條,xiāo tiáo,bleak,L5,四季,
蕭瑟,xiāo sè,to rustle in the air,L5,四季,
獨特,dú tè,unique,L5,物品,
別具匠心,bié jù jiàng xīn,to show ingenuity,L5,物品,
別出心裁,bié chū xīn cái,to hit on sth new,L5,物品,
小巧玲瓏,xiǎo qiǎo líng lóng,dainty and delicate,L5,物品,
惟妙惟肖,wéi miào wéi xiào,to imitate to perfection,L5,物品,
按鈕,àn niǔ,push button,L5,物品,
晶瑩剔透,jīng yíng tī tòu,sparkling and translucent pure and limpid,L5,物品,
稀奇古怪,xī qí gǔ guài,crazy,L5,物品,
粗製濫造,cū zhì làn zào,to churn out large quantities without regard for quality,L5,物品,
繁密,fán mì,numerous and close together,L5,物品,
繁雜,fán zá,many,L5,物品,
屹立,yì lì,to tower,L5,植物,
綠樹成蔭,lǜ shù chéng yīn,to have trees with shade-giving foliage,L5,植物,
俯仰生姿,fǔ yǎng shēng zī,lowering and raising of the head be born beauty,L5,植物,
凋萎,diāo wěi,withered wither,L5,植物,
凋謝,diāo xiè,to wither,L5,植物,
凋零,diāo líng,withered,L5,植物,
勁草,jìng cǎo,tough upright grass,L5,植物,
古木參天,gǔ mù cān tiān,ancient tree reach up the sky,L5,植物,
吐芽,tǔ yá,spit bud,L5,植物,
吐蕊,tǔ ruǐ,spit stamen,L5,植物,
含苞待放,hán bāo dài fàng,in bud,L5,植物,
喬木,qiáo mù,tree,L5,植物,
姹紫嫣紅,chà zǐ yān hóng,beautiful purple bright red,L5,植物,
嫩草,nèn cǎo,young and tender grass,L5,植物,
巍然,wēi rán,majestic,L5,植物,
年輪,nián lún,annual ring,L5,植物,
怒放,nù fàng,in full bloom,L5,植物,
抽條,chōu tiáo,draw out strip,L5,植物,
挺拔,tǐng bá,tall and straight,L5,植物,
搖曳,yáo yè,to sway gently,L5,植物,
春草,chūn cǎo,old grass,L5,植物,
枝葉相連,zhī yè xiāng lián,branch and leaf link,L5,植物,
枝葉茂盛,zhī yè mào shèng,branch and leaf lush,L5,植物,
枯草,kū cǎo,withered grass,L5,植物,
樹冠,shù guān,treetop,L5,植物,
樹叢,shù cóng,thicket,L5,植物,
樹梢,shù shāo,the tip of a tree,L5,植物,
淡,dàn,insipid,L5,植物,
清香,qīng xiāng,sweet scent,L5,植物,
清麗,qīng lì,graceful,L5,植物,
濃,nóng,concentrated,L5,植物,
灌木,guàn mù,bush,L5,植物,
爭妍鬥麗,zhēng yán dòu lì,strive for beautiful fight korea,L5,植物,
瑰麗,guī lì,elegant,L5,植物,
異香撲鼻,yì xiāng pū bí,exotic odors assail the nostrils,L5,植物,
盤曲,pán qū,coiled,L5,植物,
碧草,bì cǎo,green jade grass,L5,植物,
競相開放,jìng xiāng kāi fàng,competitive bloom,L5,植物,
素雅,sù yǎ,simple yet elegant,L5,植物,
綠瑩瑩,lǜ yīng yīng,green and lush,L5,植物,
綠草如茵,lǜ cǎo rú yīn,green grass like cushion,L5,植物,
綻開,zhàn kāi,to burst forth,L5,植物,
繁茂,fán mào,lush,L5,植物,
芬芳,fēn fāng,perfume,L5,植物,
花團錦簇,huā tuán jǐn cù,brightly colored decorations,L5,植物,
花香醉人,huā xiāng zuì rén,fragrance of flowers intoxicating,L5,植物,
芳草,fāng cǎo,fragrant grass,L5,植物,
芳香濃郁,fāng xiāng nóng yù,fragrant rich,L5,植物,
茁壯,zhuó zhuàng,healthy and strong,L5,植物,
茵茵,yīn yīn,mattress,L5,植物,
蒼勁,cāng jìng,old and strong,L5,植物,
蒼翠,cāng cuì,verdant,L5,植物,
蓬勃,péng bó,vigorous,L5,植物,
蔓延,màn yán,to extend,L5,植物,
野草,yě cǎo,weeds,L5,植物,
怨天尤人,yuàn tiān yóu rén,to blame the gods and accuse others,L5,動物,
輕盈,qīng yíng,graceful,L5,動物,
兇殘成性,xiōng cán chéng xìng,savage become second nature,L5,動物,
卧,wò,to lie,L5,動物,
叼,diāo,to hold with one's mouth,L5,動物,
大搖大擺,dà yáo dà bǎi,to strut,L5,動物,
奔跑,bēn pǎo,to run,L5,動物,
威猛,wēi měng,bold and powerful,L5,動物,
展翅,zhǎn chì,to spread wings,L5,動物,
引項高歌,yǐn xiàng gāo gē,draw back of neck sing loudly,L5,動物,
引頸長鳴,yǐn jǐng cháng míng,crane one's neck length cry,L5,動物,
張牙舞爪,zhāng yá wǔ zhǎo,to bare fangs and brandish claws,L5,動物,
忠實,zhōng shí,faithful,L5,動物,
忠誠,zhōng chéng,devoted,L5,動物,
懶洋洋,lǎn yāng yāng,lazily,L5,動物,
扇動,shān dòng,to fan,L5,動物,
打滾,dǎ gǔn,to roll about,L5,動物,
振翅高飛,zhèn chì gāo fēi,shake wing goofy,L5,動物,
搖頭擺尾,yáo tóu bǎi wěi,to nod one's head and wag one's tail,L5,動物,
摧毀,cuī huǐ,to destroy,L5,動物,
機靈,jī ling,clever,L5,動物,
溫馴,wēn xùn,docile,L5,動物,
膽怯,dǎn qiè,timidity,L5,動物,
蹲,dūn,to crouch,L5,動物,
迎風飛舞,yíng fēng fēi wǔ,in the wind flutter,L5,動物,
閃動,shǎn dòng,to flicker or flash,L5,動物,
靈敏,líng mǐn,smart,L5,動物,
頭,tóu,head,L5,動物,
飛奔,fēi bēn,to dash,L5,動物,
飛撲,fēi pū,fly throw oneself at,L5,動物,
騰空躍起,téng kōng yuè qǐ,soar jump rise,L5,動物,
輕重不分,qīng zhòng bù fēn,severity not distinguish,L5,性格,
不屈不撓,bù qū bù náo,unyielding,L5,性格,
才智過人,cái zhì guò rén,ability and wisdom surpass others,L5,性格,
神機妙算,shén jī miào suàn,divine strategy and wonderful planning,L5,性格,
伶俐,líng lì,clever,L5,性格,
仗義輕財,zhàng yì qīng cái,uphold justice light money,L5,性格,
堅定不移,jiān dìng bù yí,unswerving,L5,性格,
堅忍不拔,jiān rěn bù bá,fortitude,L5,性格,
多才多藝,duō cái duō yì,multitalented,L5,性格,
奮不顧身,fèn bù gù shēn,to dash on bravely with no thought of personal safety,L5,性格,
尋根究柢,xún gēn jiū dǐ,search investigate thoroughly foundation,L5,性格,
彬彬有禮,bīn bīn yǒu lǐ,refined and courteous,L5,性格,
悲天憫人,bēi tiān mǐn rén,to bemoan the state of the universe and pity the fate of mankind,L5,性格,
慢條斯理,màn tiáo sī lǐ,unhurried,L5,性格,
捨己為人,shě jǐ wèi rén,to abandon self for others,L5,性格,
擇善固執,zé shàn gù zhí,to choose what is good and hold fast to it,L5,性格,
有恃無恐,yǒu shì wú kǒng,secure in the knowledge that one has backing,L5,性格,
橫衝直撞,héng chōng zhí zhuàng,to barge through,L5,性格,
為虎作倀,wèi hǔ - zuò chāng,to act as accomplice to the tiger,L5,性格,
發憤圖強,fā fèn tú qiáng,to be strongly determined to succeed,L5,性格,
目光遠大,mù guāng yuǎn dà,gaze far-reaching,L5,性格,
粗心大意,cū xīn dà yì,negligent,L5,性格,
自強不息,zì qiáng bù xī,to strive unremittingly,L5,性格,
處變不驚,chǔ biàn bù jīng,to remain calm in the face of events,L5,性格,
馬馬虎虎,mǎ ma hū hū,careless,L5,性格,
若有所失,ruò yǒu suǒ shī,as if one had lost something,L4,心理,
鬱悶,yù mèn,gloomy,L4,心理,
憤憤不平,fèn fèn bù píng,to feel indignant,L4,心理,
怒吼,nù hǒu,to bellow,L4,心理,
傷感,shāng gǎn,sad,L4,心理,
哀悼,āi dào,to grieve over sb's death,L4,心理,
哀愁,āi chóu,sorrow,L4,心理,
多愁善感,duō chóu shàn gǎn,melancholy and moody,L4,心理,
心醉神迷,xīn zuì shén mí,ecstatic,L4,心理,
怒不可遏,nù bù kě è,unable to restrain one's anger,L4,心理,
怒氣衝天,nù qì chōng tiān,anger thoroughfare day,L4,心理,
怒沖沖,nù chōng chōng,furiously,L4,心理,
怒火中燒,nù huǒ zhōng shāo,rage china burn,L4,心理,
怒髮衝冠,nù fà chōng guān,lit. hair stands up in anger and tips off one's hat,L4,心理,
恨,hèn,to hate,L4,心理,
恨之入骨,hèn zhī rù gǔ,to hate sb to the bone,L4,心理,
惆悵,chóu chàng,melancholy,L4,心理,
惱羞成怒,nǎo xiū chéng nù,to fly into a rage out of humiliation,L4,心理,
憂愁,yōu chóu,to be worried,L4,心理,
憤恨,fèn hèn,to hate,L4,心理,
欣喜若狂,xīn xǐ ruò kuáng,to be wild with joy,L4,心理,
欣欣然,xīn xīn rán,happy gladly,L4,心理,
歎,tàn,sigh,L4,心理,
沒精打彩,méi jīng dǎ cǎi,listless,L4,心理,
沾沾自喜,zhān zhān zì xǐ,immeasurably self-satisfied,L4,心理,
泣不成聲,qì bù chéng shēng,sob won't do sound,L4,心理,
津津樂道,jīn jīn lè dào,to discuss sth enthusiastically,L4,心理,
發怒,fā nù,to get angry,L4,心理,
興沖沖,xìng chōng chōng,full of joy and expectations,L4,心理,
賞心悅目,shǎng xīn yuè mù,warms the heart and delights the eye,L4,心理,
逍遙,xiāo yáo,free and unfettered,L4,心理,
徘徊,pái huái,to pace back and forth,L4,動作,
信步,xìn bù,to stroll,L4,動作,
健步如飛,jiàn bù rú fēi,running as fast as flying,L4,動作,
堆,duī,to pile up,L4,動作,
奔馳,bēn chí,benz,L4,動作,
履,lǚ,shoe,L4,動作,
度,dù,to pass,L4,動作,
彈奏,tán zòu,to play,L4,動作,
手忙腳亂,shǒu máng jiǎo luàn,to act with confusion,L4,動作,
拄,zhǔ,to lean on,L4,動作,
拉扯,lā che,to drag,L4,動作,
拋,pāo,to throw,L4,動作,
拔腿就跑,bá tuǐ jiù páo,break into a run in that case paw,L4,動作,
拖拽,tuō yè,to pull,L4,動作,
指手畫腳,zhǐ shǒu huà jiǎo,to gesticulate while talking,L4,動作,
指揮,zhǐ huī,to conduct,L4,動作,
捧,pěng,to hold or offer with both hands,L4,動作,
掀,xiān,to lift,L4,動作,
揚,yáng,to raise,L4,動作,
搔,sāo,to scratch,L4,動作,
摟,lōu,to draw towards oneself,L4,動作,
擒,qín,to capture,L4,動作,
擒拿,qín ná,capture old,L4,動作,
擱,gē,to place,L4,動作,
擲,zhì,to toss,L4,動作,
攪拌,jiǎo bàn,to stir,L4,動作,
散步,sàn bù,to take a walk,L4,動作,
昂首闊步,áng shǒu kuò bù,striding forward with head high,L4,動作,
步履,bù lǚ,gait,L4,動作,
步步為營,bù bù wéi yíng,to advance gradually and entrench oneself at every step,L4,動作,
歸,guī,to return,L4,動作,
溜,liū,to slip away,L4,動作,
漫步,màn bù,to wander,L4,動作,
發抖,fā dǒu,to tremble,L4,動作,
磨拳擦掌,mó quán cā zhǎng,get ready for action,L4,動作,
礙手礙腳,ài shǒu ài jiǎo,to be in the way,L4,動作,
移動,yí dòng,to move,L4,動作,
置,zhì,to install,L4,動作,
舉手投足,jǔ shǒu tóu zú,one's every movement,L4,動作,
衝鋒陷陣,chōng fēng xiàn zhèn,to charge and break through enemy lines,L4,動作,
裹足不前,guǒ zú bù qián,to stand still without advancing,L4,動作,
襲擊,xí jī,attack,L4,動作,
跋山涉水,bá shān shè shuǐ,to travel over land and water,L4,動作,
跨,kuà,to step across,L4,動作,
踱步,duó bù,to pace,L4,動作,
蹦蹦跳跳,bèng bèng tiào tiào,bouncing and vivacious,L4,動作,
躡手躡腳,niè shǒu niè jiǎo,to walk quietly on tiptoe,L4,動作,
追趕,zhuī gǎn,to pursue,L4,動作,
追逐,zhuī zhú,to chase,L4,動作,
逃跑,táo pǎo,to flee from sth,L4,動作,
邁步向前,mài bù xiàng qián,take a step forward,L4,動作,
吶喊,nà hǎn,shout,L4,動作,
口齒伶俐,kǒu chǐ líng lì,eloquent and fluent speaker,L4,動作,
認同,rèn tóng,to approve of,L4,動作,
批評,pī píng,to criticize,L4,動作,
主張,zhǔ zhāng,to advocate,L4,動作,
提議,tí yì,proposal,L4,動作,
表明,biǎo míng,to make clear,L4,動作,
規勸,guī quàn,to advise,L4,動作,
說明,shuō míng,to explain,L4,動作,
附和,fù hè,to agree,L4,動作,
一派胡言,yī pài hú yán,a bunch of nonsense,L4,動作,
一言不發,yī yán bù fā,to not say a word,L4,動作,
不以為然,bù yǐ wéi rán,not to accept as correct,L4,動作,
勸告,quàn gào,to advise,L4,動作,
勸諫,quàn jiàn,to admonish,L4,動作,
口若懸河,kǒu ruò xuán hé,mouth like a torrent,L4,動作,
吆喝,yāo he,to shout,L4,動作,
呼吸,hū xī,to breathe,L4,動作,
咀嚼,jǔ jué,to chew,L4,動作,
咒罵,zhòu mà,to damn,L4,動作,
哀求,āi qiú,to entreat,L4,動作,
哭訴,kū sù,to lament,L4,動作,
嘀咕,dí gu,to mutter,L4,動作,
嘮叨,láo dao,to prattle,L4,動作,
噘起,juē qǐ,pout rise,L4,動作,
垂涎三尺,chuí xián sān chǐ,to drool,L4,動作,
埋怨,mán yuàn,to complain,L4,動作,
大聲,dà shēng,loud voice,L4,動作,
尖聲,jiān shēng,pointed sound,L4,動作,
強詞奪理,qiǎng cí duó lǐ,to twist words and force logic,L4,動作,
怒喝,nù hē,anger drink,L4,動作,
打噴嚏,dǎ pēn tì,to sneeze,L4,動作,
支支吾吾,zhī zhī wú wú,to hem and haw,L4,動作,
斥責,chì zé,to lash out,L4,動作,
柔聲細語,róu shēng xì yǔ,soft sound chat with a low voice,L4,動作,
欲言又止,yù yán yòu zhǐ,to want to say sth but then hesitate,L4,動作,
漫不經心,màn bù jīng xīn,careless,L4,動作,
狼吞虎咽,láng tūn hǔ yàn,to wolf down one's food,L4,動作,
異口同聲,yì kǒu tóng shēng,different mouths,L4,動作,
細嚼慢嚥,xì jiáo màn yàn,to eat slowly,L4,動作,
繪聲繪色,huì shēng huì sè,vivid and colorful,L4,動作,
義正詞嚴,yì zhēng cí yán,italy first month of the lunar year word tight,L4,動作,
聲嘶力歇,shēng sī lì xiē,sound hiss power rest,L4,動作,
苦口婆心,kǔ kǒu pó xīn,earnest and well-meaning advice,L4,動作,
表示,biǎo shì,to express,L4,動作,
表達,biǎo dá,to express,L4,動作,
言簡意賅,yán jiǎn yì gāi,concise and comprehensive,L4,動作,
語無倫次,yǔ wú lún cì,incoherent speech,L4,動作,
語重心長,yǔ zhòng xīn cháng,meaningful and heartfelt words,L4,動作,
談笑自若,tán xiào zì ruò,to talk and laugh as though nothing had happened,L4,動作,
輕聲,qīng shēng,quietly,L4,動作,
默不作聲,mò bù zuò shēng,to keep silent,L4,動作,
齊聲,qí shēng,all speaking together,L4,動作,
大開眼界,dà kāi - yǎn jiè,to broaden one's horizons greatly,L4,動作,
仰望,yǎng wàng,to look up at,L4,動作,
仰視,yǎng shì,to tilt one's head back to see,L4,動作,
俯視,fǔ shì,to overlook,L4,動作,
全神貫注,quán shén guàn zhù,to concentrate one's attention completely,L4,動作,
哭泣,kū qì,to weep,L4,動作,
左顧右盼,zuǒ gù yòu pàn,glancing to left and right,L4,動作,
打聽,dǎ ting,to ask about,L4,動作,
探聽,tàn tīng,to make inquiries,L4,動作,
斜視,xié shì,a squint,L4,動作,
洗耳恭聽,xǐ ěr gōng tīng,to listen with respectful attention,L4,動作,
炯炯有光,jiǒng jiǒng yǒu guāng,bright have light,L4,動作,
眨,zhǎ,to blink,L4,動作,
眯,mí,to blind,L4,動作,
眺,tiào,to gaze into the distance,L4,動作,
眾目睽睽,zhòng mù kuí kuí,in full view of everyone,L4,動作,
瞄,miáo,to take aim,L4,動作,
瞅,chǒu,to look at,L4,動作,
瞥,piē,to shoot a glance,L4,動作,
瞻前顧後,zhān qián gù hòu,lit. to look forward and back,L4,動作,
視察,shì chá,to inspect,L4,動作,
窺,kuī,to peep,L4,動作,
窺看,kuī kàn,peep look after,L4,動作,
細聽,xì tīng,to listen carefully,L4,動作,
耳聞目睹,ěr wén mù dǔ,to witness personally,L4,動作,
聽聞,tīng wén,to listen,L4,動作,
觀看,guān kàn,to watch,L4,動作,
遙望,yáo wàng,to look into the distance,L4,動作,
震耳欲聾,zhèn ěr yù lóng,ear-splitting,L4,動作,
靜聽,jìng tīng,still listen to,L4,動作,
鳥瞰,niǎo kàn,to get a bird's-eye view,L4,動作,
俊秀,jùn xiù,well-favored,L4,外貌,
凌亂,líng luàn,messy,L4,外貌,
小辮子,xiǎo biàn zi,pigtail,L4,外貌,
憔悴,qiáo cuì,wan and sallow,L4,外貌,
斑白,bān bái,grizzled,L4,外貌,
暈紅,yūn gōng,confused red,L4,外貌,
油亮,yóu liàng,glossy,L4,外貌,
猙獰,zhēng níng,malevolent,L4,外貌,
白髮童顏,bái fà tóng yán,white or gray hair child color,L4,外貌,
相貌堂堂,xiàng mào táng táng,appearance grand,L4,外貌,
禿頂,tū dǐng,bald head,L4,外貌,
稚氣,zhì qì,childish nature,L4,外貌,
花白,huā bái,grizzled,L4,外貌,
英俊,yīng jùn,handsome,L4,外貌,
蓬頭垢面,péng tóu gòu miàn,messy hair and dirty face,L4,外貌,
面如土色,miàn rú tǔ sè,ashen-faced,L4,外貌,
馬臉,mǎ liǎn,horse face,L4,外貌,
齊耳短髮,qí ěr duǎn fà,neat ear short hair,L4,外貌,
黝黑,yǒu hēi,dark,L4,外貌,
胖嘟嘟,pàng dū dū,plump,L4,外貌,
乾裂,gān liè,to crack,L4,外貌,
亭亭玉立,tíng tíng yù lì,slender and elegant,L4,外貌,
修長,xiū cháng,slender,L4,外貌,
健壯,jiàn zhuàng,robust,L4,外貌,
勻稱,yún chèn,well proportioned,L4,外貌,
厚實,hòu shi,thick,L4,外貌,
厚繭,hòu jiǎn,thick cocoon,L4,外貌,
古銅色,gǔ tóng sè,bronze color,L4,外貌,
弱不禁風,ruò bù jīn fēng,too weak to stand up to the wind,L4,外貌,
手腳,shǒu jiǎo,hand and foot,L4,外貌,
枯瘦,kū shòu,withered thin,L4,外貌,
柔嫩,róu nèn,tender,L4,外貌,
滾圓,gǔn yuán,as round as a ball,L4,外貌,
瘦骨嶙峋,shòu gǔ lín xún,skinny,L4,外貌,
白淨,bái jìng,fair and clear,L4,外貌,
白皙,bái xī,fair and clear,L4,外貌,
皺巴巴,zhòu bā bā,wrinkled,L4,外貌,
矮個兒,ǎi gè r,a person of short stature,L4,外貌,
矮墩墩,ǎi dūn dūn,pudgy,L4,外貌,
粗壯有力,cū zhuàng yǒu lì,thick and solid powerful,L4,外貌,
結實,jiē shí,to bear fruit,L4,外貌,
纖細,xiān xì,fine,L4,外貌,
纖纖玉手,xiān xiān yù shǒu,slim lily-white hands,L4,外貌,
老態龍鍾,lǎo tài lóng zhōng,doddering,L4,外貌,
豐盈,fēng yíng,well-rounded,L4,外貌,
青筋凸起,qīng jīn tū qǐ,veins convex,L4,外貌,
骨瘦如柴,gǔ shòu rú chái,as thin as a match,L4,外貌,
高個兒,gāo gè r,high size,L4,外貌,
高頭大馬,gāo tou Dà mǎ,higher authority malaysia,L4,外貌,
魁梧,kuí wú,tall and sturdy,L4,外貌,
樹木,shù mù,tree,L4,環境保護,
亂砍,luàn kǎn,in confusion or disorder chop,L4,環境保護,
光污染,guāng wū rǎn,light pollute,L4,環境保護,
全球暖化,quán qiú nuǎn huà,global warming,L4,環境保護,
冰川融化,bīng chuān róng huà,glacier melt,L4,環境保護,
工業發展,gōng yè fā zhǎn,industry development,L4,環境保護,
廢物污染,fèi wù wū rǎn,rubbish pollute,L4,環境保護,
森林消失,sēn lín xiāo shī,forest disappear,L4,環境保護,
森林銳減,sēn lín ruì jiǎn,forest steep decline,L4,環境保護,
極端天氣,jí duān tiān qì,extreme weather,L4,環境保護,
水質污染,shuǐ zhì wū rǎn,water pollution,L4,環境保護,
泥石流,ní shí liú,landslide,L4,環境保護,
活動造成,huó dòng zào chéng,exercise bring about,L4,環境保護,
浪費資源,làng fèi zī yuán,waste natural resource,L4,環境保護,
海洋酸化,hǎi yáng suān huā,ocean sour make into,L4,環境保護,
濫伐,làn fá,to denude,L4,環境保護,
物種滅絕,wù zhǒng miè jué,species become extinct,L4,環境保護,
物種瀕危,wù zhǒng bīn wēi,species endangered,L4,環境保護,
珊瑚白化,shān hú bái huā,coral white make into,L4,環境保護,
發動戰爭,fā dòng zhàn zhēng,start war,L4,環境保護,
發展核能,fā zhǎn hé néng,development nuclear energy,L4,環境保護,
的環境問,de huán jìng wèn,environmental issue,L4,環境保護,
碳排放,tàn pái fàng,carbon emissions,L4,環境保護,
空氣污染,kōng qì wū rǎn,air pollution,L4,環境保護,
肆意砍伐,sì yì kǎn fá,wantonly hew,L4,環境保護,
臭氧層耗損,chòu yǎng céng hào sǔn,ozone layer waste,L4,環境保護,
製造垃圾,zhì zào lā jī,manufacture trash,L4,環境保護,
資源枯竭,zī yuán kū jié,natural resource used up,L4,環境保護,
近年人類,jìn nián rén lèi,recent year humanity,L4,環境保護,
過度放牧,guò dù fàng mù,excessive graze,L4,環境保護,
過度獵殺動物,guò dù liè shā dòng wù,excessive kill animal,L4,環境保護,
過度耕作,guò dù gēng zuò,excessive farming,L4,環境保護,
過度開採,guò dù kāi cǎi,excessive extract,L4,環境保護,
都市發展,dū shì fā zhǎn,city development,L4,環境保護,
題,tí,topic,L4,環境保護,
肅然起敬,sù rán qǐ jìng,to feel deep veneration for sb,L4,人生哲理,
虛度,xū dù,to fritter away,L4,人生哲理,
培養,péi yǎng,to cultivate,L4,人生哲理,
啟發,qǐ fā,to enlighten,L4,人生哲理,
盲目,máng mù,blind,L4,人生哲理,
自暴自棄,zì bào zì qì,to abandon oneself to despair,L4,人生哲理,
承諾,chéng nuò,to promise,L4,人生哲理,
博大精深,bó dà jīng shēn,wide-ranging and profound,L4,人生哲理,
了解,liǎo jiě,to understand,L4,人生哲理,
准許,zhǔn xǔ,to allow,L4,人生哲理,
勉勵,miǎn lì,to encourage,L4,人生哲理,
反對,fǎn duì,to oppose,L4,人生哲理,
反映,fǎn yìng,to mirror,L4,人生哲理,
可悲,kě bēi,lamentable,L4,人生哲理,
含義,hán yì,meaning,L4,人生哲理,
告誡,gào jiè,to warn,L4,人生哲理,
屈服,qū fú,to surrender,L4,人生哲理,
建議,jiàn yì,to propose,L4,人生哲理,
引發,yǐn fā,to lead to,L4,人生哲理,
恍然大悟,huǎng rán dà wù,to suddenly realize,L4,人生哲理,
懷疑,huái yí,to doubt,L4,人生哲理,
捨棄,shě qì,to give up,L4,人生哲理,
接納,jiē nà,to admit,L4,人生哲理,
提出,tí chū,to raise,L4,人生哲理,
明確,míng què,clear-cut,L4,人生哲理,
發現,fā xiàn,to notice,L4,人生哲理,
真理,zhēn lǐ,truth,L4,人生哲理,
良機,liáng jī,a good chance,L4,人生哲理,
規矩,guī ju,lit. compass and set square,L4,人生哲理,
覺察,jué chá,to sense,L4,人生哲理,
觀點,guān diǎn,point of view,L4,人生哲理,
誇獎,kuā jiǎng,to praise,L4,人生哲理,
說服,shuō fú,to persuade,L4,人生哲理,
象徵,xiàng zhēng,emblem,L4,人生哲理,
贊成,zàn chéng,to approve,L4,人生哲理,
過失,guò shī,error,L4,人生哲理,
領會,lǐng huì,to understand,L4,人生哲理,
領略,lǐng lüè,to have a taste of,L4,人生哲理,
一望無際,yī wàng wú jì,as far as the eye can see,L4,地點景物,
清幽,qīng yōu,quiet and secluded,L4,地點景物,
絢麗,xuàn lì,gorgeous,L4,地點景物,
千姿百態,qiān zī bǎi tài,to come in many different shapes,L4,地點景物,
挺立,tǐng lì,to stand erect,L4,地點景物,
盛開,shèng kāi,blooming,L4,地點景物,
偌大,ruò dà,so big,L4,地點景物,
大街小巷,dà jiē xiǎo xiàng,great streets and small alleys,L4,地點景物,
奇跡,qí jì,miracle,L4,地點景物,
宅院,zhái yuàn,house,L4,地點景物,
宏偉,hóng wěi,grand,L4,地點景物,
宏大,hóng dà,great,L4,地點景物,
富麗堂皇,fù lì táng huáng,sumptuous,L4,地點景物,
寬闊,kuān kuò,expansive,L4,地點景物,
對稱,duì chèn,symmetry,L4,地點景物,
幽靜,yōu jìng,quiet,L4,地點景物,
斑斕,bān lán,gorgeous,L4,地點景物,
枯,kū,withered,L4,地點景物,
榮,róng,glory,L4,地點景物,
歷史悠久,lì shǐ yōu jiǔ,long-established,L4,地點景物,
氣勢磅礡,qì shì páng bó,imposing manner majestic,L4,地點景物,
發芽,fā yá,to germinate,L4,地點景物,
目不暇接,mù bù xiá jiē,lit. too much for the eye to take in,L4,地點景物,
精美絕倫,jīng měi jué lún,exquisite outstanding,L4,地點景物,
美輪美奐,měi lún měi huàn,magnificent,L4,地點景物,
舉世無雙,jǔ shì wú shuāng,unrivaled,L4,地點景物,
英武,yīng wǔ,soldierly,L4,地點景物,
荒涼,huāng liáng,desolate,L4,地點景物,
輝映,huī yìng,to reflect,L4,地點景物,
輝煌,huī huáng,splendid,L4,地點景物,
迂迴曲折,yū huí qū zhé,roundabout route winding,L4,地點景物,
迴廊,huí láng,winding corridor,L4,地點景物,
遙遠,yáo yuǎn,distant,L4,地點景物,
雅致,yǎ zhì,elegant,L4,地點景物,
鬼斧神功,guǐ fǔ shén gōng,disembodied spirit hatchet amazing powers,L4,地點景物,
輕柔,qīng róu,soft,L4,天文氣象,
熾熱,chì rè,red-hot,L4,天文氣象,
冷月,lěng yuè,cold moon,L4,天文氣象,
刺眼,cì yǎn,to dazzle,L4,天文氣象,
勁吹,jìng chuī,to blow strongly,L4,天文氣象,
吹拂,chuī fú,to brush,L4,天文氣象,
呼呼,hū hū,sound of the wind or the breathing of sb who is sound asleep,L4,天文氣象,
呼嘯,hū xiào,to whistle,L4,天文氣象,
嗚嗚,wū wū,boo hoo,L4,天文氣象,
夕陽,xī yáng,sunset,L4,天文氣象,
季候風,jì hòu fēng,season wind,L4,天文氣象,
寥落,liáo luò,sparse,L4,天文氣象,
山風,shān fēng,mountain wind,L4,天文氣象,
徐徐,xú xú,slowly,L4,天文氣象,
微風,wēi fēng,breeze,L4,天文氣象,
斜陽,xié yáng,setting sun,L4,天文氣象,
新月,xīn yuè,new moon,L4,天文氣象,
日蝕,rì shí,solar eclipse,L4,天文氣象,
旭日,xù rì,the rising sun,L4,天文氣象,
明月,míng yuè,bright moon,L4,天文氣象,
星,xīng,star,L4,天文氣象,
星河,xīng hé,star river (,L4,天文氣象,
星空,xīng kōng,starry sky,L4,天文氣象,
星羅棋布,xīng luó qí bù,scattered about like stars in the sky or chess pieces on a board,L4,天文氣象,
